Context,Behavior,Definition,Detail Page URL
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Lean (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=338&cvid=MjczNSwyNzM2
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Lie-Down (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=364&cvid=MTc4OSwxNzkwLDE3OTE=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Lunge (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=152&cvid=MTY0MSwyNzQw
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Mounting (16),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=156&cvid=Mzc1LDM3NiwzNzcsMzc4LDM3OSwzODAsMzgxLDM4MiwzODMsMzg0LDM4NSwyMDA0LDIwMDUsMjc0MSwyNzQyLDI3NDM=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Nasal-Trumpet (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=166&cvid=MTE4NiwyMjcx
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Open-Mouth-to-Open-Mouth (5),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=169&cvid=NTIyLDUyMyw1MjQsNTI1LDUyNg==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Penis-Erection (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=172&cvid=ODg2
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Periscope-Trunk (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=173&cvid=MTE3MywxMTc0
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Pirouette (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=182&cvid=MTUxNiwxNTE3
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Play-Trumpet (6),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=184&cvid=MTkzMywxOTM0LDE5MzUsMjI5NSwyNzcxLDI3NzI=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Protest-Trumpet (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=392&cvid=MjMyMw==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Pulsated-Trumpet (8),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=189&cvid=MTA0OSwxMDUwLDEwNTEsMTg3NCwxODc1LDE4NzYsMTg3NywxODc4
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Pushing (9),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=191&cvid=NDI4LDQyOSw0MzAsNDMxLDQzMiw0MzMsMTY2MywyMDk0LDIzMjQ=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Ramming (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=192&cvid=MTY5MQ==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Reach-Over (15),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=194&cvid=NDQwLDQ0MSw0NDIsNDQzLDQ0NCw0NDUsNDQ2LDQ0Nyw0NDgsNDQ5LDQ1MCw0NTEsMTY1OCwxNjU5LDE2NjA=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Rest-Head (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=337&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=330&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Rump-Present (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=221&cvid=MTMxNiwxMzE3LDEzMTg=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Run-After (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=222&cvid=MTUyOCwxNTI5LDE1MzAsMjI2Mg==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Run-Away (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=223&cvid=MTUzMywxNTM0
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Sashay (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=224&cvid=MTUzNw==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Scrape-Ground (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=225&cvid=MTE5Mg==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Sitting (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=407&cvid=Mjc5Mw==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Slap (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=239&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Snorkel (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=365&cvid=MTc2NywxNzY4LDE3Njk=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Snort (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=245&cvid=MjMzMQ==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Social-Rubbing (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=246&cvid=OTM2
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Splash-Submerge (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=362&cvid=MTc4MCwxNzgx
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Splash-With-Foot (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=409&cvid=MjgwMg==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Splash-with-Trunk (8),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=367&cvid=MTg4NCwxODg1LDE4ODYsMTg4NywxODg4LDI4MDMsMjgwNCwyODA1
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Spray (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=361&cvid=MTg4OSwxODkw
SubmissiveBehaviors employed to avoid aggression and/or injury by other elephants.,Back-Away (8),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=8&cvid=MTE1LDE0NzcsMTQ3OCwxNjM0LDE2MzUsMjE4NywyMTg4LDI2OTg=
SubmissiveBehaviors employed to avoid aggression and/or injury by other elephants.,Back-Toward (5),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=9&cvid=MTIyLDEyMywxMjQsMTI1LDIxODk=
SubmissiveBehaviors employed to avoid aggression and/or injury by other elephants.,Check-Temporin (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=327&cvid=
SubmissiveBehaviors employed to avoid aggression and/or injury by other elephants.,Chin-Out (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=38&cvid=MjA3MA==
SubmissiveBehaviors employed to avoid aggression and/or injury by other elephants.,Ear-Folding (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=73&cvid=MTk2NA==
SubmissiveBehaviors employed to avoid aggression and/or injury by other elephants.,Ears-Back (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=79&cvid=
SubmissiveBehaviors employed to avoid aggression and/or injury by other elephants.,Foot-Lifting (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=103&cvid=MjE0NA==
SubmissiveBehaviors employed to avoid aggression and/or injury by other elephants.,Grumble-Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=117&cvid=
